epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667755032281,2022-11-06T19.17.12.281,11.942,-0.183,0.610,-0.091
1667755032322,2022-11-06T19.17.12.322,11.983,-0.366,0.427,-0.183
1667755032362,2022-11-06T19.17.12.362,12.023,-0.366,0.427,-0.061
1667755032403,2022-11-06T19.17.12.403,12.064,-0.213,0.427,0.000
1667755032444,2022-11-06T19.17.12.444,12.105,-0.396,0.549,-0.122
1667755032485,2022-11-06T19.17.12.485,12.146,-0.488,0.579,-0.030
1667755032525,2022-11-06T19.17.12.525,12.186,-0.762,0.335,0.061
1667755032566,2022-11-06T19.17.12.566,12.227,-0.183,0.457,0.152
1667755032607,2022-11-06T19.17.12.607,12.268,-0.366,0.488,0.030
1667755032648,2022-11-06T19.17.12.648,12.309,-0.488,0.610,-0.183
1667755032687,2022-11-06T19.17.12.687,12.348,-0.549,0.244,-0.091
1667755032728,2022-11-06T19.17.12.728,12.389,-0.945,0.213,0.091
1667755032769,2022-11-06T19.17.12.769,12.430,-0.640,0.488,0.122
1667755032809,2022-11-06T19.17.12.809,12.470,-0.061,0.732,0.091
1667755032850,2022-11-06T19.17.12.850,12.511,-0.335,0.640,-0.213
1667755032891,2022-11-06T19.17.12.891,12.552,-0.732,0.610,-0.213
1667755032932,2022-11-06T19.17.12.932,12.593,-0.152,0.823,-0.122
1667755032971,2022-11-06T19.17.12.971,12.632,-0.335,0.610,-0.061
1667755033012,2022-11-06T19.17.13.012,12.673,-0.305,0.518,0.000
1667755033053,2022-11-06T19.17.13.053,12.714,-0.457,0.549,0.030
1667755033094,2022-11-06T19.17.13.094,12.755,-0.549,0.549,0.061
1667755033134,2022-11-06T19.17.13.134,12.795,-0.732,0.488,0.030
1667755033175,2022-11-06T19.17.13.175,12.836,-0.579,0.488,-0.030
1667755033216,2022-11-06T19.17.13.216,12.877,-0.640,0.427,-0.030
1667755033256,2022-11-06T19.17.13.256,12.917,-0.274,0.457,0.061
1667755033297,2022-11-06T19.17.13.297,12.958,-0.335,0.579,0.061
1667755033338,2022-11-06T19.17.13.338,12.999,0.000,0.762,-0.030
1667755033379,2022-11-06T19.17.13.379,13.040,-0.762,0.335,-0.030
1667755033418,2022-11-06T19.17.13.418,13.079,-0.732,0.488,0.152
1667755033459,2022-11-06T19.17.13.459,13.120,-0.305,0.762,0.122
1667755033500,2022-11-06T19.17.13.500,13.161,-0.457,0.732,0.000
1667755033541,2022-11-06T19.17.13.541,13.202,-0.945,0.518,0.000
1667755033581,2022-11-06T19.17.13.581,13.242,-0.671,0.518,0.000
1667755033622,2022-11-06T19.17.13.622,13.283,-0.305,0.701,-0.030
1667755033663,2022-11-06T19.17.13.663,13.324,-0.457,0.457,0.030
1667755033702,2022-11-06T19.17.13.702,13.363,-0.579,0.518,0.000
1667755033743,2022-11-06T19.17.13.743,13.404,-0.549,0.518,0.000
1667755033784,2022-11-06T19.17.13.784,13.445,-0.335,0.579,0.061
1667755033825,2022-11-06T19.17.13.825,13.486,-0.518,0.457,0.000
1667755033865,2022-11-06T19.17.13.865,13.526,-0.518,0.549,0.000
1667755033906,2022-11-06T19.17.13.906,13.567,-0.549,0.518,-0.030
1667755033947,2022-11-06T19.17.13.947,13.608,-0.488,0.488,0.030
1667755033988,2022-11-06T19.17.13.988,13.649,-0.122,0.610,0.000
1667755034028,2022-11-06T19.17.14.028,13.689,-0.183,0.488,0.000
1667755034069,2022-11-06T19.17.14.069,13.730,-0.610,0.457,0.122
1667755034110,2022-11-06T19.17.14.110,13.771,-0.640,0.549,0.122
1667755034151,2022-11-06T19.17.14.151,13.812,-0.335,0.701,0.061
1667755034190,2022-11-06T19.17.14.190,13.851,-0.457,0.549,0.030
1667755034231,2022-11-06T19.17.14.231,13.892,-0.854,0.549,0.000
1667755034272,2022-11-06T19.17.14.272,13.933,-0.213,0.732,-0.061
1667755034312,2022-11-06T19.17.14.312,13.973,-0.579,0.427,-0.030
1667755034353,2022-11-06T19.17.14.353,14.014,-0.213,0.610,0.000
1667755034394,2022-11-06T19.17.14.394,14.055,-0.457,0.671,-0.091
1667755034435,2022-11-06T19.17.14.435,14.096,-0.579,0.579,-0.091
1667755034474,2022-11-06T19.17.14.474,14.135,-0.396,0.549,0.091
1667755034515,2022-11-06T19.17.14.515,14.176,-0.518,0.518,0.061
1667755034556,2022-11-06T19.17.14.556,14.217,-0.762,0.640,-0.152
1667755034597,2022-11-06T19.17.14.597,14.258,-0.518,0.274,0.030
1667755034637,2022-11-06T19.17.14.637,14.298,-0.274,0.518,0.152
1667755034678,2022-11-06T19.17.14.678,14.339,-0.030,0.640,-0.030
1667755034719,2022-11-06T19.17.14.719,14.380,-0.701,0.366,0.000
1667755034760,2022-11-06T19.17.14.760,14.421,-0.579,0.427,0.122
1667755034799,2022-11-06T19.17.14.799,14.460,-0.396,0.518,0.000
