epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667737131322,2022-11-06T14.18.51.322,12.471,0.447,-0.051,-0.926
1667737131362,2022-11-06T14.18.51.362,12.511,0.450,-0.049,-0.947
1667737131403,2022-11-06T14.18.51.403,12.552,0.435,-0.096,-0.979
1667737131444,2022-11-06T14.18.51.444,12.593,0.453,-0.136,-0.977
1667737131485,2022-11-06T14.18.51.485,12.634,0.510,-0.214,-1.024
1667737131525,2022-11-06T14.18.51.525,12.674,0.358,-0.222,-1.038
1667737131566,2022-11-06T14.18.51.566,12.715,0.316,-0.154,-0.957
1667737131607,2022-11-06T14.18.51.607,12.756,0.376,-0.117,-0.892
1667737131646,2022-11-06T14.18.51.646,12.795,0.339,-0.070,-0.862
1667737131687,2022-11-06T14.18.51.687,12.836,0.376,-0.036,-0.849
1667737131728,2022-11-06T14.18.51.728,12.877,0.385,-0.024,-0.846
1667737131769,2022-11-06T14.18.51.769,12.918,0.399,-0.005,-0.851
1667737131809,2022-11-06T14.18.51.809,12.958,0.429,-0.045,-0.846
1667737131850,2022-11-06T14.18.51.850,12.999,0.448,-0.161,-0.873
1667737131891,2022-11-06T14.18.51.891,13.040,0.489,-0.298,-0.900
1667737131932,2022-11-06T14.18.51.932,13.081,0.483,-0.405,-0.935
1667737131971,2022-11-06T14.18.51.971,13.120,0.416,-0.358,-0.961
1667737132012,2022-11-06T14.18.52.012,13.161,0.378,-0.300,-0.950
1667737132053,2022-11-06T14.18.52.053,13.202,0.362,-0.297,-0.929
1667737132094,2022-11-06T14.18.52.094,13.243,0.361,-0.271,-0.896
1667737132134,2022-11-06T14.18.52.134,13.283,0.372,-0.255,-0.888
1667737132175,2022-11-06T14.18.52.175,13.324,0.385,-0.248,-0.900
1667737132216,2022-11-06T14.18.52.216,13.365,0.393,-0.264,-0.916
1667737132255,2022-11-06T14.18.52.255,13.404,0.388,-0.280,-0.923
1667737132296,2022-11-06T14.18.52.296,13.445,0.378,-0.288,-0.922
1667737132337,2022-11-06T14.18.52.337,13.486,0.379,-0.290,-0.910
1667737132379,2022-11-06T14.18.52.379,13.528,0.396,-0.279,-0.895
1667737132418,2022-11-06T14.18.52.418,13.567,0.406,-0.278,-0.890
1667737132459,2022-11-06T14.18.52.459,13.608,0.399,-0.288,-0.904
1667737132500,2022-11-06T14.18.52.500,13.649,0.374,-0.298,-0.922
1667737132541,2022-11-06T14.18.52.541,13.690,0.362,-0.334,-0.931
1667737132581,2022-11-06T14.18.52.581,13.730,0.357,-0.367,-0.924
1667737132622,2022-11-06T14.18.52.622,13.771,0.366,-0.350,-0.919
1667737132663,2022-11-06T14.18.52.663,13.812,0.365,-0.305,-0.928
1667737132704,2022-11-06T14.18.52.704,13.853,0.364,-0.280,-0.930
1667737132743,2022-11-06T14.18.52.743,13.892,0.362,-0.267,-0.923
1667737132784,2022-11-06T14.18.52.784,13.933,0.365,-0.254,-0.914
1667737132825,2022-11-06T14.18.52.825,13.974,0.368,-0.268,-0.911
1667737132865,2022-11-06T14.18.52.865,14.014,0.370,-0.291,-0.913
1667737132906,2022-11-06T14.18.52.906,14.055,0.371,-0.305,-0.907
1667737132947,2022-11-06T14.18.52.947,14.096,0.368,-0.321,-0.903
1667737132988,2022-11-06T14.18.52.988,14.137,0.363,-0.328,-0.892
1667737133027,2022-11-06T14.18.53.027,14.176,0.363,-0.335,-0.897
1667737133068,2022-11-06T14.18.53.068,14.217,0.365,-0.322,-0.909
1667737133109,2022-11-06T14.18.53.109,14.258,0.374,-0.325,-0.915
